                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79434,                0.58367,                 1.1305,                0.65584,                0.48226,                0.52717,                0.30718,                 1.4487,                 0.8787,                 1.5262,             0.00083665,             0.00083665,             0.00083665
                     36,                0.78149,                0.57067,                 1.1294,                0.72215,                0.57098,                0.66913,                0.34919,                 1.4874,                0.86152,                 1.5734,              0.0008317,              0.0008317,              0.0008317
                     37,                0.80168,                0.57339,                 1.1331,                0.61012,                0.64738,                0.64235,                0.31848,                 1.5188,                0.86071,                 1.5976,             0.00082675,             0.00082675,             0.00082675
                     38,                0.79538,                0.57888,                 1.1336,                0.73171,                0.65615,                0.65564,                0.36328,                 1.5259,                0.85878,                 1.6012,              0.0008218,              0.0008218,              0.0008218
                     39,                0.78767,                0.56957,                 1.1181,                0.78588,                0.56537,                0.69324,                0.33969,                 1.5025,                0.82708,                 1.6023,             0.00081685,             0.00081685,             0.00081685
                     40,                0.77332,                0.56021,                 1.1181,                0.67731,                0.62457,                0.61509,                0.32967,                 1.4768,                0.83456,                 1.5497,              0.0008119,              0.0008119,              0.0008119
                     41,                0.76091,                0.54956,                 1.1086,                0.81083,                0.71548,                0.74118,                0.39858,                 1.4379,                0.80311,                 1.5532,             0.00080695,             0.00080695,             0.00080695
                     42,                0.76375,                0.55415,                 1.1196,                0.70022,                0.71515,                 0.7027,                0.40811,                 1.4212,                0.81633,                 1.5311,               0.000802,               0.000802,               0.000802
                     43,                0.76011,                0.55205,                 1.1157,                0.73814,                0.65125,                0.69931,                0.37243,                 1.3797,                0.81246,                  1.476,             0.00079705,             0.00079705,             0.00079705
                     44,                0.76359,                0.54716,                 1.1124,                 0.7343,                 0.6301,                0.62327,                0.33339,                 1.4529,                0.83853,                 1.5361,              0.0007921,              0.0007921,              0.0007921
                     45,                0.75711,                0.53409,                 1.1087,                0.79887,                0.58804,                0.61165,                 0.3701,                 1.4223,                0.84333,                 1.5334,             0.00078715,             0.00078715,             0.00078715
                     46,                  0.748,                0.53223,                 1.0992,                0.63599,                0.54453,                0.56038,                0.32738,                 1.4484,                0.87003,                 1.5499,              0.0007822,              0.0007822,              0.0007822
                     47,                0.76452,                0.53744,                 1.1076,                0.71714,                0.69627,                0.66455,                0.38695,                 1.4311,                0.80682,                  1.551,             0.00077725,             0.00077725,             0.00077725
                     48,                0.75594,                 0.5324,                  1.105,                0.83097,                0.61562,                0.63336,                0.34773,                 1.3724,                0.80168,                   1.49,              0.0007723,              0.0007723,              0.0007723
                     49,                0.74623,                0.52218,                 1.0994,                0.75383,                0.58109,                0.64815,                0.34418,                  1.432,                0.80368,                  1.555,             0.00076735,             0.00076735,             0.00076735
                     50,                0.74103,                0.52522,                 1.0993,                0.78869,                0.60613,                0.61711,                0.34897,                 1.4054,                0.78622,                 1.4965,              0.0007624,              0.0007624,              0.0007624
                     51,                0.72657,                0.51216,                 1.0914,                  0.601,                0.71696,                0.63724,                0.34501,                  1.501,                0.82632,                 1.6289,             0.00075745,             0.00075745,             0.00075745
                     52,                0.73858,                0.51953,                 1.0935,                0.72198,                0.65021,                0.63236,                0.35685,                 1.4793,                0.84052,                 1.5701,              0.0007525,              0.0007525,              0.0007525
                     53,                0.72085,                0.50211,                 1.0853,                0.58079,                0.60906,                0.61118,                0.32934,                 1.4803,                 0.8283,                 1.5211,             0.00074755,             0.00074755,             0.00074755
                     54,                0.71493,                0.49961,                 1.0847,                  0.671,                0.65989,                0.66822,                0.34572,                  1.472,                0.81619,                 1.5696,              0.0007426,              0.0007426,              0.0007426
